audio,text
data/raw/661889.wav,यह एक डमी वाक्य है 661889
data/raw/583334.wav,यह एक डमी वाक्य है 583334
data/raw/305308.wav,यह एक डमी वाक्य है 305308
data/raw/254219.wav,यह एक डमी वाक्य है 254219
data/raw/240907.wav,यह एक डमी वाक्य है 240907
data/raw/319126.wav,यह एक डमी वाक्य है 319126
data/raw/302506.wav,यह एक डमी वाक्य है 302506
data/raw/270153.wav,यह एक डमी वाक्य है 270153
data/raw/350297.wav,यह एक डमी वाक्य है 350297
data/raw/825780.wav,यह एक डमी वाक्य है 825780
data/raw/856801.wav,यह एक डमी वाक्य है 856801
data/raw/753435.wav,यह एक डमी वाक्य है 753435
data/raw/661461.wav,यह एक डमी वाक्य है 661461
data/raw/857737.wav,यह एक डमी वाक्य है 857737
data/raw/738845.wav,यह एक डमी वाक्य है 738845
data/raw/644742.wav,यह एक डमी वाक्य है 644742
data/raw/269383.wav,यह एक डमी वाक्य है 269383
data/raw/781184.wav,यह एक डमी वाक्य है 781184
data/raw/238079.wav,यह एक डमी वाक्य है 238079
data/raw/754618.wav,यह एक डमी वाक्य है 754618
data/raw/282447.wav,यह एक डमी वाक्य है 282447
data/raw/240909.wav,यह एक डमी वाक्य है 240909
data/raw/886193.wav,यह एक डमी वाक्य है 886193
data/raw/615319.wav,यह एक डमी वाक्य है 615319
data/raw/739630.wav,यह एक डमी वाक्य है 739630
data/raw/269794.wav,यह एक डमी वाक्य है 269794
data/raw/988596.wav,यह एक डमी वाक्य है 988596
data/raw/319105.wav,यह एक डमी वाक्य है 319105
data/raw/489638.wav,यह एक डमी वाक्य है 489638
data/raw/663529.wav,यह एक डमी वाक्य है 663529
data/raw/238123.wav,यह एक डमी वाक्य है 238123
data/raw/783966.wav,यह एक डमी वाक्य है 783966
data/raw/365033.wav,यह एक डमी वाक्य है 365033
data/raw/475356.wav,यह एक डमी वाक्य है 475356
data/raw/583991.wav,यह एक डमी वाक्य है 583991
data/raw/255381.wav,यह एक डमी वाक्य है 255381
data/raw/1021370.wav,यह एक डमी वाक्य है 1021370
data/raw/537776.wav,यह एक डमी वाक्य है 537776
data/raw/629862.wav,यह एक डमी वाक्य है 629862
data/raw/489675.wav,यह एक डमी वाक्य है 489675
data/raw/240994.wav,यह एक डमी वाक्य है 240994
data/raw/979497.wav,यह एक डमी वाक्य है 979497
data/raw/330457.wav,यह एक डमी वाक्य है 330457
data/raw/269907.wav,यह एक डमी वाक्य है 269907
data/raw/977253.wav,यह एक डमी वाक्य है 977253
data/raw/494019.wav,यह एक डमी वाक्य है 494019
data/raw/767869.wav,यह एक डमी वाक्य है 767869
data/raw/661767.wav,यह एक डमी वाक्य है 661767
data/raw/629904.wav,यह एक डमी वाक्य है 629904
data/raw/400490.wav,यह एक डमी वाक्य है 400490
data/raw/888331.wav,यह एक डमी वाक्य है 888331
data/raw/475392.wav,यह एक डमी वाक्य है 475392
data/raw/990783.wav,यह एक डमी वाक्य है 990783
data/raw/781268.wav,यह एक डमी वाक्य है 781268
data/raw/615351.wav,यह एक डमी वाक्य है 615351
data/raw/241695.wav,यह एक डमी वाक्य है 241695
data/raw/630926.wav,यह एक डमी वाक्य है 630926
data/raw/537983.wav,यह एक डमी वाक्य है 537983
data/raw/253253.wav,यह एक डमी वाक्य है 253253
data/raw/350606.wav,यह एक डमी वाक्य है 350606
